file,subject,test_date,location,bing_id,age,age_cat,gender,condition,book_order,dv_order,atypical,exp_error,interference,insuff_lang,familiarity,calibrate_1_yes,calibrate_1_no,calibrate_2_yes,calibrate_2_no,girlBoy_check_context,girlBoy_check_pass_1,girlBoy_check_pass_2,girlBoy_check_pass_3,girlBoy_self,girlBoy_girl,girlBoy_boy,girlGirl_check_context,girlGirl_check_pass_1,girlGirl_check_pass_2,girlGirl_check_pass_3,girlGirl_check_pass_4,girlGirl_self,girlGirl_girl,girlGirl_boy,excep_check_context,excep_check_pass_1,excep_check_pass_2,excep_check_pass_3,excep_self,excep_girl,excep_boy,notes
STORYBOOK_20190730_01,1,7/30/19,JMZ,,5.7,5,male,original,girlBoy_girlGirl_excep,girlFirst,no,no,no,no,no,sort of want,no,really want,,yes,no,yes,yes,no,no,want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,really want,no,want,yes,yes,yes,yes,no,no,want,"Didn't do calibrate_2_no. calibrate_2_yes: changed ""swings"" to ""monkey bars"" because participant didn't want to play on swings."
STORYBOOK_20190730_02,2,7/30/19,JMZ,,5.4,5,male,original,excep_girlGirl_girlBoy,boyFirst,no,no,no,no,no,sort of want,want,sort of want,want,yes,yes -> no,yes,yes,no,sort of want,really want,yes,lizards and crocodiles,,lizard,doll,no,really want,really want,yes,yes,no -> yes,no -> yes,no,sort of want,really want,Didn't do girlGirl_check_pass_2. Failed calibration tests
STORYBOOK_20190730_03,3,7/30/19,JMZ,,5.4,5,female,original,girlBoy_girlGirl_excep,boyFirst,no,no,no,no,no,want,no,want,no,yes,no,yes,yes,no,want,sort of want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,really want,really want,sort of want,,yes,yes,yes,no,really want,want,Didn't do excep_check_context. Asked excep_self before check questions. Answer remained the same. Possibly familiar with Amelia Earhart? (06:20)
STORYBOOK_20190730_04,4,7/30/19,JMZ,,5.2,5,male,original,girlBoy_excep_girlGirl,boyFirst,no,no,yes,yes,no,really want,sort of want,really want,want -> no,yes,yes -> no,yes,yes,sort of want,want,really want,yes,lizards and crocodiles,dragons and princesses,doll -> lizard,doll,really want,really want,really want,yes,yes,yes,yes,really want,really want,want,"calibrate_2_no: changed ""do nothing"" to ""eat ants"". Possibly insuff_lang: mother kept checking child's understanding, translating"
STORYBOOK_20190730_05,5,7/30/19,JMZ,,5.8,5,male,original,girlGirl_excep_girlBoy,girlFirst,no,no,no,no,no,really want,no,want,no,yes,no,yes,yes,no,want,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,sort of want,want,really want,yes,yes,yes,yes,no,want,no,
STORYBOOK_20190730_06,6,7/30/19,Bing,ba837,5.9,5,male,original,excep_girlBoy_girlGirl,girlFirst,no,no,no,no,no,no -> sort of want,no,no,no,yes,no,yes,yes,no,want,sort of want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,really want,want,really want,yes,yes,yes,yes,no,sort of want,want,"calibrate_1_yes: changed ""ice cream"" to ""fruits"""
STORYBOOK_20190801_01,7,8/1/19,Bing,ba1095,6.1,6,female,original,excep_girlBoy_girlGirl,girlFirst,no,no,no,no,yes,really want,no,want,no,yes,no,yes,yes,no,no,sort of want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,want,want,no,yes,yes,yes,yes,no,no,no,exclude: familiarity with Amelia Earhart
STORYBOOK_20190802_01,8,8/2/19,Bing,ba384,6.9,6,male,original,girlGirl_girlBoy_excep,boyFirst,no,no,no,no,no,really want,no,want,no,yes,no,yes,yes,no,really want,no,yes,lizards and crocodiles,dragons and princesses,doll -> lizard,doll,want,really want,no,yes,yes,yes,yes,no,sort of want,want,
STORYBOOK_20190802_02,9,8/2/19,Bing,ba706,6.2,6,female,original,girlBoy_excep_girlGirl,boyFirst,no,no,no,no,yes,really want,want,sort of want,no,yes,no,yes,yes,no,sort of want,sort of want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,no,no,no,yes,yes,yes,yes,no,no,sort of want,exclude: familiarity with Amelia Earhart
STORYBOOK_20190806_01,10,8/6/19,JMZ,,6.6,6,female,original,girlBoy_excep_girlGirl,girlFirst,no,no,no,no,yes,want,no,sort of want,no,yes,no,yes,yes,no,really want,want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,no,sort of want,really want,yes,yes,yes,yes,no,want,really want,"exclude: familiarity, calibrate_1_yes: changed ""ice cream' to ""fruits"""
STORYBOOK_20190806_02,11,8/6/19,Bing,ba747,6.5,6,female,original,girlGirl_girlBoy_excep,girlFirst,no,no,no,no,no,really want,no,really want,no,yes,no,yes,yes,really want,really want,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,really want,really want,really want,yes,yes,yes,yes,want,really want,really want,
STORYBOOK_20190808_01,12,8/8/19,Bing,ba756,5.9,5,male,original,girlBoy_girlGirl_excep,boyFirst,no,no,no,no,no,really want,no,want,no,yes,no,yes,no -> yes,sort of want,want,really want,yes,lizards and crocodiles,lizards and crocodiles -> dragons and princesses,lizard,doll,no,really want,want,yes,yes,yes,yes,no,want,really want,"calibrate_1_no: changed ""eggs"" to ""worms"""
STORYBOOK_20190813_01,13,8/13/19,JMZ,,6.8,6,female,original,excep_girlGirl_girlBoy,girlFirst,no,no,no,no,no,no,no,really want,no,yes,no,yes,yes,no,want,want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,no,want,want,yes,yes,yes,yes,no,maybe -> really want,really want,"Didn't do calibrate_1_yes, father asked if she knew what ""really"" vs ""sort of"" meant"
STORYBOOK_20190813_02,14,8/13/19,JMZ,,5.9,5,female,original,excep_girlBoy_girlGirl,boyFirst,no,no,no,no,no,really want,no,really want,no,yes,yes -> no,yes,yes,no,no,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,no,sort of want,really want,yes,yes,yes,yes,sort of want,sort of want,really want,
STORYBOOK_20190813_03,15,8/13/19,JMZ,,5.2,5,female,original,girlGirl_excep_girlBoy,boyFirst,no,no,no,no,no,really want,no,really want,no,yes,no,yes,yes,really want,really want,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,really want,really want,really want,yes,yes,yes,yes,no,really want,really want,Mom/brother came in in the middle
STORYBOOK_20190813_04,16,8/13/19,JMZ,,5.8,5,female,original,girlBoy_excep_girlGirl,girlFirst,no,no,no,no,no,really want,no,really want,no,yes,no,yes,no -> yes,really want,really want,really want,yes,dragons and princesses -> lizards and crocodiles,alligators -> dragons and princesses,lizard,doll,really want,really want,no,yes,no -> yes,yes,yes,really want,really want,really want,"calibrate_1_yes: changed ""ice cream"" to ""fruits"", excep_boy: at first did not ask yes/no, then went back"
STORYBOOK_20190813_05,17,8/13/19,JMZ,,5.3,5,female,original,girlBoy_excep_girlGirl,boyFirst,no,no,yes,no,no,really want,no,want,no,yes,no,yes,yes,no,really want,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,sort of want,really want,really want,yes,yes,yes,yes,sort of want,really want,really want,
STORYBOOK_20190814_01,18,8/14/19,Bing,bb345,5.3,5,female,original,excep_girlGirl_girlBoy,boyFirst,no,no,no,no,no,really want,no,really want,no,yes,yes -> no,yes,yes,no,want,want,yes,dragons and princesses -> lizards and crocodiles,dragons and crocodiles -> dragons and princesses,lizard,lizard -> doll,no,really want,really want,yes,yes,yes,yes,no,sort of want,want,"calibrate_1_yes: changed ""ice cream"" to ""candy"", calibrate_2_no: changed ""swings"" to ""monkey bars"""
storybook_20190816_01,19,8/16/19,Bing,ba716,6.7,6,female,original,girlGirl_girlBoy_excep,boyFirst,no,no,no,no,no,really want,no,really want,no,yes,no,yes,yes,sort of want,really want,really want,yes,lizards and crocodiles,dragons and princesses,lizard,doll,sort of want,really want,really want,yes,yes,yes,yes,sort of want,really want,really want,
